Артикул,Название,Ссылка,Цена
код 016.028,Электролобзик BOSCH PST 800 PEL ,https://7745.by/product/016028,"-8%


306,78 р.




282,24 р."
код 693.674,Электролобзик WORTEX JS 6506-2 E,https://7745.by/product/elektrolobzik-wortex-js-6506-2-e,"138,80 р."
код 463.369,Лобзик аккумуляторный WORTEX CJS 6529,https://7745.by/product/lobzik-akkumulyatornyi-wortex-cjs-6529,"180,70–343,70 р."
код 510.026,Электролобзик DEWALT DWE349 ,https://7745.by/product/510026,"-14%


343,00 р.




294,00 р."
код 049.094,Электролобзик ФИОЛЕНТ ПМ5-750 Э М ,https://7745.by/product/049094,"163,80 р."
код 016.041,Электролобзик ФИОЛЕНТ ПМ5-720Э,https://7745.by/product/elektrolobzik-fiolent-pm5-720e,"129,40–134,40 р."
код 117.167,Электролобзик WORTEX JS 6506-2 LE,https://7745.by/product/elektrolobzik-wortex-js-6506-2-le,"152,00 р."
код 117.168,Электролобзик WORTEX JS 8008-2 LE,https://7745.by/product/elektrolobzik-wortex-js-8008-2-le,"168,30–485,90 р."
код 016.016,Электролобзик MAKITA 4329,https://7745.by/product/elektrolobzik-makita-4329,"241,15–421,98 р."
код 117.165,Электролобзик WORTEX JS 1009-2 LE,https://7745.by/product/elektrolobzik-wortex-js-1009-2-le,"200,30 р."
код 016.040,Электролобзик ФИОЛЕНТ ПМ4-700Э ,https://7745.by/product/016040,"125,40 р."
код 074.801,Электролобзик MAKITA JV 0600 K ,https://7745.by/product/074801,"450,74 р."
код 179.182,Электролобзик BOSCH PST 650 ,https://7745.by/product/179182,"212,01 р."
код 189.303,Электролобзик BOSCH GST 700 Professional ,https://7745.by/product/189303,"313,04 р."
код 016.015,Электролобзик MAKITA 4327 ,https://7745.by/product/016015,"238,00 р."
код 078.751,Лобзик аккумуляторный BOSCH GST 12V-70 Professional,https://7745.by/product/lobzik-akkumulyatornyi-bosch-gst-12v-70-professional,"454,73–703,22 р."
